ym,Subrogation,Pharmacy programs,COB (Medical),Total
2025-09,71547099.91,20064360.543636363,17203850.41,108815310.86363636
2025-10,72580041.37,22148023.45818182,11492415.03,106220479.85818183
2025-11,61467063.51,21570217.605454545,10281990.35,93319271.46545453
2025-12,127966846.44,29181324.036363635,10282149.51,167430319.98636362
2026-01,59187975.9,13572929.636363637,8687903.26,81448808.79636364
2026-02,54308445.7,17345012.14636364,9342012.12,80995469.96636364
2026-03,84656070.92,23584003.17636364,12833245.87,121073319.96636364
2026-04,64070853.31,22614690.018181816,9317633.5,96003176.82818182
2026-05,91261282.92,20619768.908181816,6943923.04,118824974.86818182
2026-06,93617491.67,29150955.015454546,9078509.44,131846956.12545455
2026-07,82673965.08,26434479.21454545,10619508.86,119727953.15454544
2026-08,87999140.566,27802444.48818182,8629104.23,124430689.28418182
